artigoEmPeriodico	Giovanna Machado	2018	http://dx.doi.org/10.1021/acs.jpcc.7b12219	Core-Shell Fe-Pt Nanoparticles in Ionic Liquids: Magnetic and Catalytic Properties	Journal of Physical Chemistry C	ADAMSKI, JANICE ; QADIR, MUHAMMAD I. ; SERNA, JILDER P. ; BERNARDI, FABIANO ; BAPTISTA, DANIEL L. ; SALLES, BENJAMIN R. ; NOVAK, MIGUEL A. ; Machado, Giovanna ; DUPONT, Jairton	A1	JOURNAL OF PHYSICAL CHEMISTRY. C
artigoEmPeriodico	Giovanna Machado	2018	http://dx.doi.org/10.1016/j.lwt.2018.04.015	Chemical composition and antibacterial activity of Eugenia brejoensis essential oil nanoemulsions against Pseudomonas fluorescens	LWT-FOOD SCIENCE AND TECHNOLOGY	MENDES, J.F. ; MARTINS, H.H.A. ; OTONI, C.G. ; SANTANA, N.A. ; SILVA, R.C.S. ; DA SILVA, A.G. ; SILVA, M.V. ; CORREIA, M.T.S. ; MACHADO, G. ; PINHEIRO, A.C.M. ; PICCOLI, R.H. ; OLIVEIRA, J.E.	C	SCIENCE AND TECHNOLOGY
artigoEmPeriodico	Giovanna Machado	2018	http://dx.doi.org/10.1021/acs.jpcc.7b11822	Synthesis and Visible-Light-Driven Photocatalytic Activity of Ta <sup>4+</sup> Self-Doped Gray Ta <sub>2</sub> O <sub>5</sub> Nanoparticles	Journal of Physical Chemistry C	GOMES, LUIZ E. ; DA SILVA, MARCIO F. ; GONÇALVES, RENATO V. ; Machado, Giovanna ; ALCANTARA, GLAUCIA B. ; CAIRES, ANDERSON R. L. ; WENDER, HEBERTON	A1	JOURNAL OF PHYSICAL CHEMISTRY. C
artigoEmPeriodico	Giovanna Machado	2018	http://dx.doi.org/10.1016/j.msec.2018.04.089	Titanium dioxide nanotubes functionalized with Cratylia mollis seed lectin, Cramoll, enhanced osteoblast-like cells adhesion and proliferation	Materials Science & Engineering C-Materials for Biological Applications	OLIVEIRA, WESLLEY F. ; SILVA, GERMANA M.M. ; CABRAL FILHO, PAULO E. ; FONTES, ADRIANA ; OLIVEIRA, MARIA D.L. ; ANDRADE, CÉSAR A.S. ; SILVA, MÁRCIA V. ; COELHO, LUANA C.B.B. ; Machado, Giovanna ; CORREIA, MARIA T.S.	Qualis nao identificado	Materials Science & Engineering C-Materials for Biological Applications
artigoEmPeriodico	Giovanna Machado	2018	http://dx.doi.org/10.1016/j.fuel.2018.05.064	Influence of sucrose addition and acid treatment of silica-supported Co-Ru catalysts for Fischer-Tropsch synthesis	FUEL	RIBEIRO, ANDRÉ T.S. ; BEZERRA, VICTOR V.L. ; BARTOLOMEU, RODRIGO A.C. ; ABREU, CESAR A.M. ; FILHO, NELSON M.L. ; SILVA, ANTÔNIO O.S. ; MARANHÃO, LAÍSSE C.A. ; MERINO, DAVID ; SANZ, OIHANE ; MONTES, MARIO ; Machado, Giovanna ; ALMEIDA, LUCIANO C.	Qualis nao identificado	FUEL
artigoEmPeriodico	Giovanna Machado	2018	http://dx.doi.org/10.1016/j.archoralbio.2018.07.004	Effect of chitosan nanoparticles on the inhibition of Candida spp. biofilm on denture base surface	ARCHIVES OF ORAL BIOLOGY	GONDIM, BRENNA LOUISE CAVALCANTI ; CASTELLANO, LÚCIO ROBERTO CANÇADO ; DE CASTRO, RICARDO DIAS ; Machado, Giovanna ; CARLO, HUGO LEMES ; VALENÇA, ANA MARIA GONDIM ; DE CARVALHO, FABÍOLA GALBIATTI	A2	
artigoEmPeriodico	Giovanna Machado	2018	http://dx.doi.org/10.1039/c8ce00743h	Syntheses and Structural Understanding of Ti-Ta Alloy Based Nanotubular Oxide Photocatalyst	CRYSTENGCOMM	SOARES, THIAGO ANDRÉ SALGUEIRO ; GALVÃO, RHAUANE ALMEIDA ; DE HOLANDA, LILIAN CAMPELO ; KINAST, ÉDER JULIO ; BESTETTI, MASSIMILIANO ; GONÇALVES, RENATO VITALINO ; TEIXEIRA NETO, ÂNGELA ALBUQUERQUE ; TEIXEIRA NETO, ERICO ; ALMEIDA, LUCIANO COSTA ; TEIXERA, SERGIO RIBEIRO ; KHAN, SHERDIL ; Machado, Giovanna	Qualis nao identificado	CRYSTENGCOMM
artigoEmPeriodico	Giovanna Machado	2018	http://dx.doi.org/10.1016/j.ijhydene.2018.06.176	Hydrogen photocatalytic production from the self-assembled films of PAH/PAA/TiO2 supported on bacterial cellulose membranes	INTERNATIONAL JOURNAL OF HYDROGEN ENERGY	DAL?ACQUA, NICOLLE ; FARIA, ANA CLAUDIA RANGEL ; VEBBER, MÁRIO CÉSAR ; DA SILVA BARUD, HERNANE ; Giovanela, Marcelo ; Machado, Giovanna ; DA SILVA CRESPO, JANAINA	A2	
artigoEmPeriodico	Giovanna Machado	2018	http://dx.doi.org/10.3389/fcimb.2018.00303	Encapsulation of the HSP-90 Chaperone Inhibitor 17-AAG in Stable Liposome Allow Increasing the Therapeutic Index as Assessed, in vitro, on Leishmania (L) amazonensis Amastigotes-Hosted in Mouse CBA Macrophages	Frontiers in Cellular and Infection Microbiology	PETERSEN, ANTONIO LUIS DE OLIVEIRA ALMEIDA ; CAMPOS, THIERS A. ; DANTAS, DIANA ANGÉLICA DOS SANTOS ; REBOUÇAS, JULIANA DE SOUZA ; DA SILVA, JULIANA CRUZ ; DE MENEZES, JULIANA P. B. ; FORMIGA, FÁBIO R. ; DE MELO, JANAINA V. ; Machado, Giovanna ; VERAS, PATRÍCIA S. T.	Qualis nao identificado	Frontiers in Cellular and Infection Microbiology
artigoEmPeriodico	Giovanna Machado	2018	http://dx.doi.org/10.1021/acsaem.8b00375	Enhanced Visible-Light Photoelectrochemical Conversion on TiO <sub>2</sub> Nanotubes with Bi <sub>2</sub> S <sub>3</sub> Quantum Dots Obtained by in Situ Electrochemical Method	ACS Applied Energy Materials	FREITAS, DENILSON V. ; GONZÁLEZ-MOYA, JOHAN R. ; SOARES, THIAGO A. S. ; SILVA, RICHARDSON R. ; OLIVEIRA, DYEGO M. ; MANSUR, HERMAN S. ; Machado, Giovanna ; NAVARRO, MARCELO	Qualis nao identificado	ACS Applied Energy Materials
artigoEmPeriodico	Giovanna Machado	2018	http://dx.doi.org/10.1016/j.molliq.2018.08.066	Interaction of pharmaceutical ionic liquids with TiO2 in anatase and rutile phase	JOURNAL OF MOLECULAR LIQUIDS	BENDER, CAROLINE R. ; SALBEGO, PAULO R.S. ; WUST, KELI ; FARIAS, CARLA A.A. ; BECK, THAÍSSA S. ; Machado, Giovanna ; VAUCHER, RODRIGO A. ; MARTINS, MARCOS A.P. ; FRIZZO, CLARISSA P.	B1	JOURNAL OF MOLECULAR LIQUIDS (PRINT)
artigoEmPeriodico	Giovanna Machado	2017	http://dx.doi.org/10.1088/1361-6528/aa5ab0	Economically attractive route for the preparation of high quality magnetic nanoparticles by the thermal decomposition of iron(III) acetylacetonate	NANOTECHNOLOGY	EFFENBERGER, FERNANDO B ; COUTO, RICARDO A ; KIYOHARA, PEDRO K ; Machado, Giovanna ; MASUNAGA, SUELI H ; JARDIM, RENATO F ; ROSSI, LIANE M	Qualis nao identificado	NANOTECHNOLOGY
